TOTAL: 73.1% (3320/4542)
    0%     0/ 246  miss=246  backend\api\auth_server.py
    0%     0/ 115  miss=115  backend\api\fido2_auth.py
   16%    47/ 290  miss=243  backend\api\admin_auth.py
   25%    61/ 243  miss=182  backend\api\report_generator.py
   62%    30/  48  miss= 18  backend\api\system_status.py
   69%    97/ 141  miss= 44  backend\auth\revocation_store.py
   73%    32/  44  miss= 12  backend\api\vault_session.py
   73%    47/  64  miss= 17  backend\api\browser_endpoints.py
   74%   157/ 213  miss= 56  backend\api\runtime_api.py
   75%   160/ 212  miss= 52  backend\auth\auth_guard.py
   77%   123/ 160  miss= 37  backend\approval\report_orchestrator.py
   81%   261/ 323  miss= 62  backend\api\field_progression_api.py
   84%   131/ 156  miss= 25  backend\governance\device_authority.py
   85%   121/ 143  miss= 22  backend\auth\auth.py
   86%   229/ 267  miss= 38  backend\governance\host_action_governor.py
   86%    43/  50  miss=  7  backend\api\training_progress.py
   88%    61/  69  miss=  8  backend\auth\geoip.py
   92%    48/  52  miss=  4  backend\api\api_v2_contract.py
   92%    24/  26  miss=  2  backend\api\db_safety.py
   94%    68/  72  miss=  4  backend\governance\audit_archive.py
   95%   227/ 238  miss= 11  backend\governance\approval_ledger.py
   96%   107/ 111  miss=  4  backend\governance\representation_guard.py
   97%    84/  87  miss=  3  backend\governance\incident_reconciler.py
   97%    59/  61  miss=  2  backend\governance\report_similarity.py
   97%    63/  65  miss=  2  backend\governance\mode_controller.py
   97%    37/  38  miss=  1  backend\api\exceptions.py
   97%    38/  39  miss=  1  backend\governance\report_draft_assistant.py
   99%   142/ 144  miss=  2  backend\governance\mode_progression.py
   99%   349/ 351  miss=  2  backend\integrity\integrity_bridge.py
  100%     0/   0  miss=  0  backend\api\__init__.py
  100%    34/  34  miss=  0  backend\api\runtime_state.py
  100%     0/   0  miss=  0  backend\approval\__init__.py
  100%     0/   0  miss=  0  backend\auth\__init__.py
  100%    23/  23  miss=  0  backend\auth\ownership.py
  100%     0/   0  miss=  0  backend\governance\__init__.py
  100%    24/  24  miss=  0  backend\governance\authority_lock.py
  100%    91/  91  miss=  0  backend\governance\auto_mode_controller.py
  100%    89/  89  miss=  0  backend\governance\automation_enforcer.py
  100%    57/  57  miss=  0  backend\governance\certification_gate.py
  100%    61/  61  miss=  0  backend\governance\clock_guard.py
  100%    36/  36  miss=  0  backend\governance\governance_policy_check.py
  100%    29/  29  miss=  0  backend\governance\lab_hunt_separator.py
  100%    30/  30  miss=  0  backend\governance\merge_guard.py
  100%     0/   0  miss=  0  backend\integrity\__init__.py
